topic0	halter 0.0846611221108	orientierung 0.0805864744472	papst 0.0783766189505	ablegen 0.0473016062045	homosexuell 0.0407950926932	neigung 0.0404149567466	penis 0.0396300771204	schwule 0.0365680307079	vorhaut 0.0280008965849	vatikan 0.0278359530307	garnele 0.0277181931313	respektiv 0.027568643879	homosexualität 0.0271187635607	veranlagung 0.0264952550604	beobachter 0.0264266214554	homosexuelle 0.0225508477888	buchführung 0.0202046584464	käuflich 0.0201605500243	ablage 0.0178853405167	säkular 0.0172963242707	nachzucht 0.0167946012465	heterosexuell 0.0150490636871	kardinal 0.0141964888579	außenßen 0.0139367556024	ungereimtheit 0.0128464044902
topic1	fernsehen 0.191016105338	sendung 0.190708479859	moderator 0.0530673968672	abrufbar 0.0398695689887	hörer 0.0343876033581	reportage 0.0339675790239	zuschauer 0.0324882887484	moderation 0.0234068077752	ausstrahlung 0.0215816380832	schwimmer 0.0213437143758	slogan 0.0184659840863	journalistisch 0.0160474079522	unterhaltung 0.0149293960833	damm 0.0146846817974	regiment 0.0144000399221	live 0.0140471591745	wöchentlich 0.0114698688229	mehrtägig 0.0105808087268	biber 0.0105415300875	muschel 0.00993867085912	uhu 0.0093436819451	sekretär 0.00858537583824	dokumentation 0.00857951039921	mitschnitt 0.00827094402582	flutkatastrophe 0.00715815863241
topic2	geist 0.0527420748246	inner 0.0442737052217	kraft 0.0428190776708	geistig 0.0297425854708	seele 0.028293964864	wesen 0.0215913443112	bewusstsein 0.0180022132029	äußer 0.0175786424073	ebene 0.0175543756806	depression 0.0165629978679	zustand 0.0153577781248	licht 0.0120317054434	wirken 0.0110384502122	gedanke 0.0109701628916	zeit 0.00863392971711	verbindung 0.00823841374897	natur 0.0076032556614	physisch 0.00715078916307	wahrheit 0.00707850535802	erkennen 0.00701701729093	wirkung 0.00604406113843	innere 0.00594036057013	erkenntnis 0.00588738580983	hoch 0.00582933552301	sein 0.00578998495637
topic3	kultur 0.0575361497012	kreativ 0.0400567270689	verschieden 0.0345040286427	modern 0.0335961451143	unterschiedlich 0.0286959703934	gestaltung 0.0238248645775	vielfältig 0.0230704003767	vielfalt 0.0222516467273	tradition 0.0212169349793	traditionell 0.0205460882034	gestalten 0.0205264766697	kulturell 0.0192568393219	eigen 0.0182629138041	bieten 0.0182310763406	idee 0.0161426477956	kreativität 0.0159709246796	besonder 0.0157415960453	form 0.0152567205608	klassisch 0.0143414588451	kunstwerk 0.0123918535835	entstehen 0.0122580664733	einzigartig 0.0118779373424	gestaltet 0.0105676887062	entdecken 0.0105058040759	verbinden 0.0102034060219
topic4	orgel 0.0995315025075	bremer 0.0571737444618	qual 0.0463991227421	arbeitsweise 0.0431569399301	schwelle 0.0359913591968	aufschrift 0.0358422924601	manier 0.032877091059	sprichwörtlich 0.0290837470956	siebziger 0.0290121184757	demenz 0.0271326414092	radiosender 0.0247163831591	bielefelder 0.0227895022473	kompressor 0.0206476787001	zeitreise 0.0200806217139	pfingsten 0.0196981276906	einspielen 0.0180858500378	serbisch 0.0179440328225	bodenständig 0.0161067507382	packend 0.0156176880173	europäer 0.0153865827272	europarat 0.0146946914282	überteuert 0.0126396630141	beglückwünschen 0.0126246759379	überdenken 0.0124559125393	serbe 0.0117779359864
topic5	serie 0.0856126577376	folge 0.0728563432271	teil 0.0505457281587	staffel 0.036996666052	finden 0.0322039230823	story 0.0310752713091	star 0.0283320065284	charakter 0.0264314960444	erst 0.0257080783799	fan 0.0174143879899	gut 0.0163807351317	episode 0.0160034127789	ende 0.0140991643797	geben 0.0133558666345	genial 0.0127799821246	action 0.0102666095682	szene 0.00993560581996	cool 0.00847177026243	fortsetzung 0.0083688608275	folgen 0.00809773603204	alien 0.00768265871525	sehen 0.00733348499081	letzt 0.00724809827879	losen 0.00715187186497	kommen 0.00708264372428
topic6	erfindung 0.104821016637	baustein 0.0740815589043	echo 0.0364272118747	zufriedenstellend 0.0345803923649	sensation 0.0261555608186	page 0.0259356136336	major 0.0227275842536	mühelos 0.0225787990133	indigen 0.0221071599748	praktikabel 0.0220420436179	prestige 0.0201637699441	textur 0.0191421085513	verminderung 0.0173746370977	menschenwürdig 0.0165033862613	eindämmen 0.0153926042745	unübersehbar 0.0152435507164	lebensbereich 0.0145969527763	destination 0.0143917538032	annäherung 0.0142332380005	bedenkenlos 0.0142252929319	untrennbar 0.0141890726775	gelebt 0.0137412148142	tendenziell 0.0136625479906	soziologe 0.0127012557991	zugehörigkeit 0.0125285467461
topic7	film 0.325849395737	dvd 0.0618389454165	kino 0.0444654558282	filmen 0.0165828668081	regisseur 0.0163698003634	verleih 0.0162036159497	szene 0.015823020292	sehen 0.0118543119574	zuschauer 0.00969615072931	gut 0.00878477072937	leinwand 0.00845266833717	drehbuch 0.00821596971899	minute 0.00818960050235	drehen 0.00777944112257	special 0.0074300864521	genre 0.00694396167527	produzent 0.0065118968178	erst 0.00648668595177	kamera 0.00613701691614	teil 0.00588497119492	geben 0.00565227266397	verfilmung 0.00563319746507	bild 0.0056086517255	filmemacher 0.00537196808908	spielfilm 0.00515398623867
topic8	gaststätte 0.0593303303168	rezension 0.0500502124523	ungarisch 0.0394019868804	prospekt 0.0337163333853	versandkostenfrei 0.028833795987	vielschichtig 0.0287092772868	einwirkung 0.0227679285747	dokumentarfilm 0.0223713247166	biografie 0.0216542124386	pariser 0.021247920251	anregend 0.0176442622717	ordnen 0.0173988950895	einleitend 0.0166997321109	pfleger 0.0165099616929	fünfziger 0.015501427097	bedienstete 0.0154512588992	aufgenommen 0.015397112901	gliedern 0.0152508827285	sechziger 0.0145435771264	jänner 0.0133657415778	bewirtschaften 0.0111209490545	endung 0.0110298485185	besprochen 0.0107559281112	ansturm 0.0106914697047	schlesisch 0.0105532503023
topic9	training 0.0697675715163	bein 0.0480585941784	fuß 0.0437427776553	schmerz 0.0336533038289	trainieren 0.0300257303206	rücken 0.0277773312133	arm 0.0210328113495	muskel 0.0209368558774	brust 0.0181389593965	knochen 0.0139152197434	schulter 0.0129229680521	stift 0.0117437339425	massage 0.0108590985992	gut 0.0094861428865	verletzung 0.00948484113261	kraft 0.00928372394802	übung 0.0090036305508	verbessern 0.0088081950433	hüfte 0.00844167026561	hand 0.00831147526267	nerv 0.00780938077958	muskulatur 0.00780042811458	belastung 0.00774196726897	ausdauer 0.00764605881927	wunde 0.00749457889228
topic10	seite 0.213828377293	link 0.0899432412228	webseite 0.0577843210154	internet 0.0342056079163	homepage 0.0308581520453	website 0.0251439298125	web 0.0229499306473	werbung 0.0204547127523	eigen 0.0179336253115	suchmaschine 0.0172014090272	inhalt 0.0164652858241	domain 0.0134721064915	internetseite 0.0116912304343	finden 0.0113594036039	interessant 0.0108917511609	lesezeichen 0.0106516042923	webmaster 0.00909745901854	nutzer 0.0089481552352	seo 0.00760843595928	gewinnspiel 0.00744207782799	gut 0.0069659554109	geben 0.00688082746579	kurz 0.00680117992941	plattform 0.00617380840189	spam 0.00585339660013
