topic0	ausbildung 0.0400520943766	studium 0.0298334698716	student 0.0203954293028	studierende 0.0202847280336	prüfung 0.0194609748203	hochschule 0.0162746328224	beruf 0.0151476084944	kurs 0.0145592721671	beruflich 0.0123057853077	studieren 0.0117913479095	jahr 0.0111975230945	lernen 0.0110007010651	semester 0.0107967380743	uni 0.010219108155	fach 0.00979848331875	studiengang 0.00912301533962	praktikum 0.00911998100453	weiterbildung 0.00835839404145	universität 0.00758815666283	erst 0.00750953711808	vorlesung 0.00735292967785	abschluss 0.00700091816926	arbeiten 0.0063984910309	kenntnis 0.00555836805336	finden 0.00532777224038
topic1	mobil 0.0331591324794	handy 0.0316319765416	iphone 0.0312812776415	video 0.0264416264291	app 0.0225953341383	ipad 0.0177881919604	internet 0.0144855815252	smartphone 0.0134875275018	gerät 0.01192054555	sms 0.0102380928061	surfen 0.0100783360287	geben 0.00953602601692	kostenlos 0.00858925289638	netz 0.00851181136814	dsl 0.00785585213782	neu 0.00781280044663	digital 0.00775694866147	nutzen 0.00765253140106	tarif 0.0069054858716	schnell 0.00647439767525	telefonieren 0.00621115085829	telefon 0.0061317997507	verfügbar 0.00604639202119	umts 0.00568331969929	software 0.00552824515037
topic2	bild 0.170087235197	foto 0.0629266782402	sehen 0.0436106364497	kamera 0.0234816790631	licht 0.0142760757198	aufnahme 0.0129059594777	zeigen 0.0115942339732	fotograf 0.00862787687817	farbe 0.00826767306841	fotografie 0.00813621215947	fotografieren 0.00799025904233	objektiv 0.00736210426903	motiv 0.00722289430215	gut 0.00707359365718	digital 0.00706037632803	video 0.00641035824076	hintergrund 0.006036178867	lassen 0.00585938380434	groß 0.00566578580669	erkennen 0.00557235937585	auflösung 0.00556422189866	hell 0.00534748009278	machen 0.00532395402075	klein 0.00523438809597	auge 0.00464704634612
topic3	platz 0.0289977381892	team 0.0210872388658	erst 0.0195487418622	gut 0.01807996602	punkt 0.0171805465836	gewinnen 0.0156662022477	sieg 0.0143613259444	zweit 0.0125280381475	mannschaft 0.0118920308785	gehen 0.0106902296348	letzt 0.0105259534712	stehen 0.00775098316662	geben 0.00720819826812	ende 0.00716679743152	erfolg 0.00697002486911	zeigen 0.00651059855064	dritt 0.006467818373	kommen 0.00631487499418	stark 0.00630606753722	turnier 0.00628267959441	runde 0.00627359486555	leistung 0.00543955999912	groß 0.00537190656575	halbzeit 0.00518561785858	knapp 0.0051447357659
topic4	schiff 0.0500322591051	boot 0.0470873408374	fliegen 0.0325770918077	flughafen 0.0226528330545	hafen 0.0193188136137	flugzeug 0.0187987299985	flug 0.0178490744757	wind 0.0169861294372	bord 0.0169185604438	anker 0.0150738505614	maschine 0.0122909206972	air 0.0117002987774	segel 0.0106211660507	pilot 0.0104575499795	passagier 0.00874535041557	deck 0.00801933859599	rumpf 0.00793994794209	crew 0.00676103817949	fluggesellschaft 0.00655952644954	fliege 0.0064948653826	flieger 0.00610945934999	see 0.00544620644679	ruder 0.00544104655883	airline 0.00544013135645	flügel 0.00532040516883
topic5	hotel 0.0218250465046	bieten 0.0182795917412	liegen 0.0127890357333	groß 0.0122474044087	restaurant 0.0117124587477	zimmer 0.0108030783275	schön 0.010528939793	befinden 0.0102107157323	person 0.00876504870839	direkt 0.00864581285214	park 0.00831262212562	klein 0.00779016290622	gut 0.00740822877777	ferienwohnung 0.00697012298146	genießen 0.00638018470035	haus 0.00628595306728	stadt 0.00620867939837	lage 0.00616331219889	ferienhaus 0.0061349994726	stehen 0.00604602029468	ruhig 0.0060096662222	küche 0.00595059989547	gast 0.00545501890367	finden 0.00513678059227	platz 0.00512986923472
topic6	frage 0.0087222995256	neu 0.00682371214451	form 0.0063757039642	bedeutung 0.00615511855969	entwicklung 0.00584380102583	sozial 0.00528702126472	unterschiedlich 0.00526933023045	arbeit 0.00523436079903	rolle 0.00518601939268	zusammenhang 0.0049564150595	prozess 0.00480413022272	aspekt 0.00470555577661	begriff 0.00435172717579	struktur 0.00424464233858	beispiel 0.00424341624912	gehen 0.00420243898959	stellen 0.00419644070167	problem 0.00408623433935	teil 0.00405580848636	lassen 0.0040071225361	ansatz 0.00394572639309	eigen 0.00388555110388	kultur 0.00363115543844	sinn 0.00362095028329	deutlich 0.00359426982444
topic7	motor 0.0150893887198	gut 0.0116704164719	teil 0.0105523442573	leicht 0.00903483151233	klein 0.00858702862938	groß 0.00844665317366	lassen 0.00742568224373	gewicht 0.00665257652692	modell 0.00632348837401	passen 0.00608151570133	ventil 0.00577687057679	seite 0.00562277972401	sehen 0.00508785203026	reifen 0.00502321850371	breit 0.00490487916837	schraube 0.00462732186734	lang 0.00448191766118	original 0.00445262349226	scheibe 0.0044168720848	bauen 0.00431279848266	recht 0.00387829608001	länge 0.00379172190636	komplett 0.00360679922058	loch 0.00357597161138	rahmen 0.00356199280866
topic8	gut 0.035662486147	finden 0.0272899732574	machen 0.0224891101721	sagen 0.0223520285334	sehen 0.0198244602221	einfach 0.0185181261253	gehen 0.0175335568168	wissen 0.0170264522491	kommen 0.0167563775263	denken 0.0164637381465	geben 0.0156896503551	wirklich 0.0144673274848	glauben 0.0139838535236	echt 0.0130221455027	haben 0.0116003218256	meinen 0.0108549535305	leute 0.00955884277623	richtig 0.00820076050402	kennen 0.00809281563152	schlecht 0.00744490674957	ganz 0.0073002674643	tun 0.0071381513089	recht 0.00670569410218	schön 0.00658662390791	original 0.00624416836306
topic9	saison 0.0532054388996	fan 0.0402430242764	verein 0.037808223124	liga 0.0323622179931	fußball 0.0272332032564	stadion 0.0200030235869	bundesliga 0.0147379082457	trainer 0.01332315464	jahr 0.0122017216674	schalk 0.0113528157609	aktion 0.0111906919071	spielen 0.0103662431741	neu 0.0101745004066	bayer 0.00970076769323	club 0.00936804435223	vertrag 0.00915413525256	manager 0.00900321916725	sportlich 0.00839921809564	trikot 0.00774481179571	freistoß 0.00768540990529	wechseln 0.00746606636234	letzt 0.00713847513934	hamburger 0.00697764658732	arena 0.00688005476821	eintracht 0.00594077484256
topic10	groß 0.0252052976354	wald 0.0187602491495	liegen 0.0187073197575	meter 0.0169071054529	wasser 0.0144546384443	hoch 0.0133842937651	see 0.0120175602875	gebiet 0.00996476007872	fluss 0.00883727457039	landschaft 0.00839609940966	jahr 0.00837246032972	weit 0.00811726362567	teil 0.00772416393832	natur 0.00771019605268	süden 0.00693264337662	norden 0.00681410023578	klein 0.00680911250364	tief 0.00671235195314	südlich 0.00639349183642	höhe 0.00620210034875	nördlich 0.0058795596518	lang 0.00570477510817	region 0.00563169562306	stark 0.00527255830193	fläche 0.00480148544491
