topic0	harmonisch 0.212277092519	aufrufen 0.177183671856	harmonie 0.154455802109	ami 0.135376433222	bessere 0.0816828717718	gelehrte 0.0567304447073	pluspunkt 0.0544932510832	kommentarfunktion 0.0479006533596	kribbeln 0.0263820456632	rouge 0.0236724143183	lebensentwurf 0.0184095311168	zusammenspielen 0.00809003043967	vierling 0.00211433905397	herrschen 3.14432938009e-08	wenden 1.28093446192e-08	geben 1.23778219458e-08	lassen 1.23503135339e-08	zeit 1.23365754239e-08	gleich 1.23346890831e-08	bestätigen 1.23321829874e-08	spüren 1.23291214057e-08	ansehen 1.23288621914e-08	liegen 1.23243076659e-08	erklären 1.23202711349e-08	bestimmen 1.23193484841e-08
topic1	front 0.198652600967	anschlag 0.142368879332	begehen 0.11888630321	untergrund 0.103430366381	gruppierung 0.0676918787133	erfolgt 0.0506832621304	mutmaßlich 0.042734321357	bezeichnet 0.0424895469719	herbeiführen 0.0376302899632	terroristisch 0.0355614093494	bewährung 0.0242631957444	totschlag 0.0182634759347	festnahme 0.0172085950763	durchsuchung 0.0138051386243	entbrennen 0.0118485098422	kammergericht 0.0117794016751	bundeskriminalamt 0.0113932347015	gewaltbereit 0.0105568934373	protestbewegung 0.00987202312386	kronzeuge 0.00575238043063	schlagabtausch 0.00503103006589	nervenbahn 0.0048402174781	lebensrhythmen 0.00373447469067	zuzurechnend 0.00332633697687	schreibtischtäter 0.00288083512731
topic2	winter 0.47700275173	schnee 0.23785024639	kalt 0.0498477086364	durchkommen 0.0298738236753	kälte 0.0243720778641	schneien 0.0239679241631	liegen 0.0183626465233	log 0.017163037132	sommer 0.0146086142678	frieren 0.0132266767091	quittieren 0.0114503631707	lawine 0.0087714010483	jahr 0.00681628085004	fallen 0.00551917802395	tief 0.00536136933324	ganz 0.00492513186305	streng 0.00490999704568	transportation 0.00366035798605	letzt 0.00364964466402	pflügen 0.00352590716112	lage 0.0033146717073	zeihen 0.00302445037412	kommend 0.00278308205977	kommen 0.00268829762713	däumchen 0.00264344361029
topic3	spieler 0.493724255435	eintragen 0.0594248265241	geben 0.035306964198	eigen 0.0220610466427	spielfeld 0.0177232326533	nah 0.013935211158	gewinnen 0.0133163468741	weit 0.012298643528	gleich 0.0111459916087	möglichkeit 0.0110343735042	möglich 0.00990941924784	entsprechend 0.00892543970553	nehmen 0.00864684293526	lassen 0.00857855127355	kommen 0.00839647832881	nachschlagen 0.00821300719934	versuchen 0.00733437040016	neu 0.00727083279064	entscheiden 0.00704014941152	zeihen 0.00682782191452	letzt 0.00668913870777	legen 0.00668665903916	bestehen 0.00665346710088	beginn 0.00664384760095	bezirksklasse 0.00654106820834
topic4	erfordern 0.431729265974	disziplin 0.323375385492	diagnostisch 0.086380966865	mittelwert 0.0521701409955	leseprobe 0.0351166530979	metrisch 0.014466708811	belesen 0.0140678263134	stufig 0.00983879865377	widerstreit 0.00789677031795	therapieempfehlung 0.00483679532226	brustzentrum 0.00386719226452	anhängerin 0.00362550346474	ressourcennutzung 0.00360673696996	verbandsbürgermeister 0.00351602177224	altersabhängig 0.00217061297265	rückenschwimmen 0.000994829662557	varianzanalyse 0.000889523652152	können 4.81424181814e-05	jeweilig 2.31344138587e-05	verschieden 1.08936222783e-05	geben 1.37722763453e-08	mittel 1.372319515e-08	liegen 1.36976622823e-08	übertragen 1.36903893432e-08	gut 1.36871599598e-08
topic5	mahnung 0.153245662268	präsidium 0.121223197989	ungewissheit 0.0804599564133	eingebettet 0.0741614667574	mahl 0.067389395397	verkündigung 0.0638008559553	prophetisch 0.060971633307	deponie 0.0426994881573	bündelung 0.0391492602587	vorstellungskraft 0.0383874446601	heterogenität 0.0376578726714	staatsrat 0.0276279558294	weihnachtsgeschichte 0.0266096076574	hineingehen 0.0229573896482	sonderdruck 0.0197868034128	kommunikationsnetz 0.0166439074009	performanz 0.0150980693413	volkskammer 0.0150700837766	wasseraufbereitung 0.013575785216	videotechnik 0.0127038064029	durchführungsbestimmung 0.0124327844122	diakonat 0.00728337089465	lüftungssystem 0.0054961817268	tischgemeinschaft 0.00469492493553	passionsgeschichte 0.00416876075927
topic6	bitter 0.24148527124	vorbeugen 0.165969528418	übergewicht 0.133446761394	vermindert 0.0860969472852	gelöst 0.0632500791043	vorwand 0.0531230086229	säen 0.052942507183	alkoholiker 0.0397399802383	keimen 0.037616894382	gemeinschaftspraxis 0.0272579642224	pflänzchen 0.0250292769547	schwägerin 0.0246260063499	gesundung 0.015597518676	bewegungstherapie 0.0135836038515	kreislaufproblem 0.00770739288192	knochentrocken 0.00662096755357	zubereitungsart 0.0043364827345	helfen 6.83693559823e-08	gut 1.58027763271e-08	stark 1.57754254095e-08	geben 1.57627687359e-08	fallen 1.5756219021e-08	selten 1.57275544191e-08	bringen 1.57154583795e-08	jahr 1.57092208341e-08
topic7	feedback 0.232275555613	erfreulich 0.22097292099	diesbezüglich 0.188900268344	bekanntschaft 0.0761403856949	nachlassen 0.0658972972737	wahrhaben 0.0272193460773	sämtlich 0.0231703463074	schnallen 0.0218454503121	sehbehindert 0.018747751345	gearbeitet 0.0180523591519	sehstörung 0.013728248346	übersiedeln 0.0128615550643	gesichtsfeld 0.00892489847744	gefaellt 0.00863483410432	haff 0.00853941021304	kurzsichtigkeit 0.0072114630563	geloest 0.00640176537486	vitaminreich 0.00536773112732	sanitärbereich 0.00515589245711	augeninnendruck 0.00448849012253	stilllegen 0.00426968150573	vorbelastung 0.00389891481752	vorhabt 0.00332706720923	sehfähigkeit 0.00318676898517	feststellen 0.0030873786874
topic8	trend 0.309293729457	verleihen 0.222703191511	überreichen 0.0837134094077	lippe 0.0777173365449	look 0.0513244845869	weiterleiten 0.0394669445559	abonnement 0.02682231793	stylisch 0.0226692446037	wimper 0.0168730287351	spielmannszug 0.0166005887459	gardasee 0.0160167182616	lippenstift 0.0148900946218	abgetrennt 0.0126320832751	schminken 0.0125169035503	chic 0.011757703653	schimmernd 0.0115021631864	schriftführerin 0.00838857723486	königspaar 0.00748762783043	geschäftig 0.00514238701795	regentschaft 0.00489493097611	setzen 0.00339562142685	sorgen 0.00332343908876	lidstrich 0.00318984374797	kombination 0.00282769236709	besonder 0.00266878469275
topic9	realität 0.297311588071	wirklichkeit 0.245177665985	widerspruch 0.210014268645	absurd 0.0729292727105	außenwelt 0.0216982096388	begräbnis 0.0154643880388	mitschnitt 0.0139396480046	nebeneinander 0.0118604292839	verschwörungstheoretiker 0.00935095362889	verschiedene 0.00865652377836	grundstimmung 0.00780112721562	obszön 0.00737803192823	entrinnen 0.00735756006187	emigrieren 0.00733670742331	vorübergehen 0.00677157192463	tatsächlich 0.00652480483605	ausbluten 0.00631662447511	kausalzusammenhang 0.00622900258965	frank 0.0049443145281	duktus 0.00436694856891	abspritzen 0.00362122533145	problembewusstsein 0.0031282636285	sprachduktus 0.00222015295054	meidung 0.00206092924018	scheinbar 0.00202152414616
topic10	preiswert 0.375432829024	umzug 0.338381149861	verwundern 0.0875220348564	autovermietung 0.0405312772267	inneneinrichtung 0.0339172947949	kommentierung 0.0268345811977	obrigkeit 0.0266784471189	mfs 0.0191660764936	bevölkerungsdichte 0.0133892872179	versatz 0.0104973313787	luftstreitkraft 0.00813913488542	gewandelt 0.00608255031441	sonderaufgabe 0.00521613761477	aeroflot 0.00282178772295	ziehen 0.00215027593623	sitzig 0.00171679166989	umgebung 6.09994088899e-05	passend 4.85175445782e-05	neu 2.69924521238e-06	groß 2.86229165188e-07	bestehen 2.16777586806e-08	weit 1.97871013504e-08	bieten 1.5916582336e-08	ende 1.45966107616e-08	mühe 1.44526971499e-08
