topic0	bett 0.100058856879	schlafen 0.0923069672002	ruhe 0.0602465872641	nacht 0.0372001159224	schlaf 0.03333987657	müde 0.0310142498956	gehen 0.0278442308282	tag 0.0264900110146	wach 0.0234875767985	liegen 0.0218075256723	zeit 0.0203830926352	aufstehen 0.0184930443816	anstrengend 0.0160589608582	ruhig 0.0132679003693	couch 0.0130350542358	stunde 0.0127428562927	machen 0.0127281454125	gut 0.0126800156207	morgen 0.0118020413706	alptraum 0.0117054067959	abend 0.0115950985782	früh 0.0113036832205	einschlafen 0.0111259196861	legen 0.0110835397802	aufwachen 0.0101826988442
topic1	beantragen 0.124409456533	finanzamt 0.104697961659	erheben 0.100377125489	einreichen 0.0731802668501	einkunft 0.0593544513469	gefordert 0.0572600784777	einspruch 0.047053304827	eingereicht 0.0390129483907	geleistet 0.0343931776674	ersparnis 0.0328237030815	verschulden 0.0301753144088	befolgen 0.0272957159546	finanzgericht 0.0269675480292	steuersatz 0.0239462480537	zurücknehmen 0.0233106535214	erstattung 0.0214826683201	entrichten 0.0152561990849	lohnsteuer 0.0142923893152	aussetzung 0.0133316794189	haftbar 0.0128220442753	vorauszahlung 0.0114538997851	gesamtbetrag 0.0103964126636	nachzahlung 0.00878057909696	umleiten 0.00840203560074	vollziehung 0.00788709743777
topic2	grandios 0.172238438473	offenbaren 0.117612336134	sensation 0.058603128195	verblüffend 0.0487135163538	verwirren 0.045631433175	hauptfigur 0.0442077080552	bordeaux 0.0298022749668	autofahrt 0.0297830813009	brilliant 0.0254928279822	spagat 0.0233890989056	kitsch 0.0212083410094	versüßen 0.0210055863424	fordernd 0.019396074476	mitreißen 0.018514232378	mittelweg 0.017557552385	anschwellen 0.0153307984237	robustheit 0.014615852208	überbewerten 0.0134359951467	abgasanlage 0.013232515405	verwaist 0.011825872922	nahaufnahme 0.0111062713835	ausgetauscht 0.00982658995201	faustdick 0.00877954835275	unreinheit 0.00795361444705	banalität 0.0072652563709
topic3	mischung 0.173335487533	festival 0.13700138794	höhepunkt 0.121843364017	drache 0.0872621900697	takt 0.0666095592813	flecken 0.0581945341556	norwegisch 0.0487221815719	vorführung 0.0468878478514	zweitgroß 0.0366977172373	einwohnerzahl 0.0238820158082	fegen 0.0238613455557	wiedergeburt 0.0218283777601	cowboy 0.0216623156782	ausgeklügelt 0.0202245061323	beschaulich 0.0170929156454	phantasievoll 0.0153517765746	fetzig 0.0138578782502	flink 0.0128549351921	farbenprächtig 0.0123238029644	reisetip 0.00613458098786	bevölkerungsdichte 0.00577503285265	sphinx 0.00553208507358	bienchen 0.00528372867937	zeppelin 0.00462080912954	mystisch 0.00372169761615
topic4	akzeptanz 0.166413302471	sparte 0.0963735640257	besucht 0.090840039393	auszahlung 0.0896454819078	altern 0.0738006079311	professionalität 0.0669955065166	leistungsspektrum 0.0546574767915	agil 0.0524796129141	festmachen 0.0394951997742	landesmeisterschaft 0.0361897142512	verändernd 0.0352805274274	haaren 0.0333612531757	judo 0.0282694541468	judoka 0.0277729833335	echse 0.0181983424936	professionalisierung 0.0170918616779	marktgerecht 0.0107737467107	klugscheißer 0.00904686938347	produktlinie 0.00883137912172	hochgeschätzt 0.0071287634281	fußballerin 0.00588520116405	mitgliedsfirma 0.00535544265904	krankenzusatzversicherung 0.00456840687166	gestanzt 0.00387111309601	müssig 0.00336305139094
topic5	genutzt 0.146823785052	filiale 0.111561002507	fertigkeit 0.0935436303198	vorweisen 0.0861610731192	parat 0.0858771768165	wintergarten 0.0627949932225	ausbilder 0.0611121511206	spezialisierung 0.0543675003696	unterrichtsstunde 0.0456639815284	gestaltungsmöglichkeit 0.0271481844427	einkaufsmöglichkeit 0.024285724037	stellensuche 0.0239389029357	verkehrsanbindung 0.0171065797023	verglasung 0.01441050369	wohneigentum 0.0125955125393	stimmungslage 0.0117785702596	alterssicherung 0.0115929047506	angrenzen 0.00937943073585	genaue 0.00864957115979	ölheizung 0.00864309087379	landesdirektion 0.00796532660455	malus 0.00720230518185	gaube 0.00596566063448	mietobjekt 0.00585126928056	berufsbildungsgesetz 0.00582559230268
topic6	model 0.110072192311	pünktlich 0.0980052599257	nackt 0.0928553541828	verhelfen 0.089809805645	exotisch 0.0820131769504	ausstrahlung 0.074415422271	fremde 0.0645173542809	tropisch 0.0614412571976	sommerlich 0.0428345789395	trunk 0.0418221210218	ungeeignet 0.0387401873226	drei 0.035970311598	terrain 0.0326551379792	logistisch 0.0306697355059	geschmückt 0.025940525675	bemalen 0.0225469126296	tiefgründig 0.0186596588418	nahe 0.0135048849385	kinderschminke 0.00536125045244	exotik 0.00403653453193	stehende 0.00388815638383	landstreicher 0.00359360451969	windbö 0.00351444245637	kopfschmuck 0.00175477668119	riesig 1.73739359982e-05
topic7	durchführung 0.123124262455	bestimmung 0.0906564307537	angelegenheit 0.0840153205589	durchführen 0.0831259458483	erteilen 0.0606753240667	verbleiben 0.0489525305802	einholen 0.037352031495	nachkommen 0.0334871386953	geschäftsführung 0.022122157918	unverzüglich 0.0220392892315	überschuss 0.0202771519633	beauftragte 0.0192727723675	vollmacht 0.017173827973	gesamtheit 0.0165532960881	eidgenössisch 0.0148481203947	erwägen 0.0141798154837	verwaltungsrat 0.0134235175361	durchfahren 0.0132208406793	rügen 0.0132161760339	restriktiv 0.0130675189498	erledigung 0.0119774470536	anordnen 0.0116885893203	eigenleistung 0.0111667166736	herbeiführen 0.00979532523345	abweisen 0.00973980444314
topic8	spektrum 0.123937554858	staub 0.12306400861	frequenz 0.110479112322	nutzbar 0.107682472664	verwandeln 0.101429204315	abdecken 0.0895115642482	kurzzeitig 0.0679249038237	anrichten 0.0507176789749	aufzeichnen 0.0294781184842	frequenzbereich 0.0197597408719	mannigfaltig 0.0171352942178	abstufung 0.0158970385798	voreingestellt 0.0158472016932	pendler 0.0115330983597	amplitude 0.0100588756114	sonntagvormittag 0.00958070901029	versiegelt 0.0092051605603	nachreichen 0.00893010172363	ungefiltert 0.00772817935867	kommandozeile 0.00668598091145	unansehnlich 0.00643668039229	maskieren 0.00528361462501	abschaltbar 0.00503043716869	oszillator 0.00491782550051	schlafmütze 0.00473454401597
topic9	loben 0.164960228957	faden 0.119682995204	formen 0.103113582449	zoo 0.0908619994917	grenzen 0.0679502896714	bundespräsident 0.0570747163285	brav 0.0502717827744	häuschen 0.0341886449512	bedauerlich 0.0306434642463	ballen 0.0295835756869	sinnen 0.0260021111218	beschlag 0.0238547973972	gesamtwert 0.0146426040665	abkaufen 0.0132721964286	versperren 0.0132458786924	steinen 0.0130393939039	besucherrekord 0.0128291044411	hinhalten 0.0124695046051	aufdrücken 0.0114872397891	glanzvoll 0.0114265816369	marode 0.0110606443515	pampa 0.00939287892343	hingehören 0.00921432108167	lobbyismus 0.00701572255502	schwerfallen 0.00691212035891
topic10	parkplatz 0.219612650434	parken 0.0853703717913	riskieren 0.0569433366969	abstellen 0.0551716365674	schranke 0.041602726597	klingeln 0.0348676690422	einfahrt 0.0318810192495	depp 0.0315748052859	ordnungsamt 0.0284540801921	motorradfahrer 0.02828214377	entladen 0.0242343117863	hinauslaufen 0.0229643580169	verabreichen 0.0180249861205	annehmbar 0.0152600621492	mindestmaß 0.013785221017	blumentopf 0.0135323593074	daseinsberechtigung 0.0114368797715	stärkere 0.0112667572493	verhältnismäßigkeit 0.0110818702579	bedenkzeit 0.0110361396104	schwächere 0.0110078869595	rücksichtslos 0.0106613217908	blaulicht 0.010118573174	abschleppen 0.00984868234992	prahlen 0.0097178482302
