topic0	knallen 0.358314687133	move 0.179445133302	vermeidbar 0.142048562438	krähen 0.0724785779894	veranstaltungstermin 0.0449965811246	hardrock 0.0424434002469	lausig 0.0407662577773	schönheitschirurg 0.0317447592709	jagdgrund 0.0282156842357	bluesig 0.0249133560959	ohnegleichen 0.0153246942337	altenteil 0.0121628541168	rollin 0.00541923322978	lassen 3.91896033876e-08	liegen 1.73912509516e-08	deutlich 1.73512437898e-08	früh 1.73297600403e-08	kommen 1.73148576763e-08	einzig 1.73028444249e-08	alt 1.7282421764e-08	hart 1.7268456986e-08	egal 1.7265980681e-08	bleiben 1.72659694157e-08	gut 1.72652067697e-08	sehen 1.72649766254e-08
topic1	komfortabel 0.342308401651	high 0.187437568215	schiene 0.173855087637	bewegt 0.122218363497	kran 0.0434391274952	peripherie 0.026073874587	bereitstehen 0.0225774133109	sorgen 0.0137166152675	tonqualität 0.0124495019775	bieten 0.0115282279153	betriebssicherheit 0.0101035993696	ermöglichen 0.00880447142196	lichttechnik 0.00773628117484	außenaufnahme 0.00404783947065	bewegen 0.00203112483273	speziell 0.00184871921998	groß 0.00175585273074	unterwasserkamera 0.00128383763615	gleichzeitig 0.00109393465709	setzen 0.000911952400731	entsprechend 0.000854683960043	hoch 0.000770908148436	verschieden 0.000726789930541	sicher 0.000563644664125	lassen 0.000527669980805
topic2	ausflug 0.690562727112	aufpreis 0.16672800738	beschäftigt 0.084528648089	erlitten 0.0399088163427	ausführungsbestimmung 0.0107798698267	charaktervoll 0.00658859618264	knapp 6.51647840054e-05	unbedingt 1.22074414646e-05	eigen 8.09476843786e-08	kurz 3.08385000389e-08	bestehen 2.31904321397e-08	bringen 8.79486123187e-09	weit 8.70199244451e-09	fall 8.37158485514e-09	geben 8.33355729402e-09	erreichen 8.3090773972e-09	lassen 8.27884964808e-09	entsprechen 8.27860489961e-09	jahr 8.27382312375e-09	bieten 8.26090978794e-09	besonder 8.2608085035e-09	gehören 8.26077571222e-09	machen 8.26020302837e-09	gehen 8.25990924291e-09	hauptsächlich 8.25959135474e-09
topic3	reservierung 0.294860101969	zuneigung 0.225984885375	anzahlung 0.117691389471	frettchen 0.0721870121233	ernstgemeint 0.0598942054453	mikrochip 0.037772631336	familientag 0.0358381141646	wegsehen 0.0325984283511	futtertier 0.0320870208777	hübsche 0.026750195199	impfpass 0.0233354640649	schutzvertrag 0.0199202524922	iltis 0.0190075925671	tag 2.30705244775e-07	nah 3.30646573797e-08	woche 2.95985499599e-08	nehmen 2.72385239152e-08	ganz 2.08052962162e-08	weit 2.07517940781e-08	gleich 2.07400221391e-08	kommen 2.07357942642e-08	geben 2.0730279949e-08	eigen 2.07286903575e-08	interesse 2.07282831083e-08	bekommen 2.072809209e-08
topic4	verletzen 0.42355970087	taxi 0.231015881769	fahrgast 0.15896940556	taxifahrer 0.0590712855243	geldbörse 0.0491651401398	schimpfwort 0.0374191745981	umsicht 0.0183941230709	nachschlag 0.0179039645653	recht 0.0013121678301	fallen 0.00124067649393	kommen 0.000362293774717	setzen 0.000323798604686	spät 0.000114592067204	nehmen 0.000109302503613	einzig 7.98937234587e-05	lassen 7.70073443646e-05	einfach 6.47927548606e-05	sehen 1.71141035972e-05	bewegen 1.28542904162e-05	schnell 9.17778432011e-06	liegen 7.04383880432e-06	versuchen 5.4474287402e-06	machen 2.53037044773e-06	stehen 2.12975174997e-06	tag 5.19167268096e-07
topic5	ansatzpunkt 0.299960881159	hinkriegen 0.240159499929	background 0.138487006407	schachzug 0.0993719718879	stichpunkt 0.0711580939882	presseportal 0.0677157036416	schwermütig 0.0595376034281	zweitwerk 0.0207767226145	grundsätzlich 6.43115481422e-08	kurz 2.86749272343e-08	vorhanden 2.83418815989e-08	spät 2.83341093445e-08	direkt 2.83273097027e-08	stellen 2.83272632566e-08	bieten 2.83272609255e-08	erst 2.83272562495e-08	unbedingt 2.83271769829e-08	kommen 2.83271359628e-08	weit 2.83271099959e-08	setzen 2.83271094078e-08	nehmen 2.83270937722e-08	zeit 2.83270870375e-08	schlecht 2.83270825287e-08	schnell 2.83270804926e-08	folgen 2.83270802454e-08
topic6	gedenken 0.534320885693	buchenwald 0.140098306267	haller 0.127311388361	kassier 0.0466174463547	sportheim 0.0429734391998	ehrend 0.0312206202987	nachtfahrt 0.0262008258944	siebenköpfig 0.022298626688	jahr 0.0135755154369	saisonabschlussfeier 0.00574937960723	mittelbayerische 0.00346590625257	tag 0.00252834239503	finden 0.0020034343667	verstorben 0.00013890103193	letzt 1.80020397319e-05	ziehen 1.9086659754e-06	stellen 9.04922256835e-07	weit 4.78172464364e-07	nah 3.86350556871e-07	zeit 8.96680198985e-08	damalig 3.6469591185e-08	sorgen 2.45231272654e-08	bleiben 2.28626987252e-08	alt 2.00135443376e-08	geben 1.52465490004e-08
topic7	prüfung 0.801909690473	bestehen 0.0565196330014	sommersemester 0.0455658791053	dolmetscher 0.0409353592693	bitterlich 0.00954862031944	erst 0.00870739863186	ende 0.00584447810093	gelten 0.00577122984537	möglich 0.00417095745985	flüssigkeitszufuhr 0.00401527643627	jahr 0.00363392263064	sicher 0.0031172477738	beinpresse 0.00242782241692	speziell 0.00222855236737	sehen 0.00145675565271	kurz 0.00114984081464	richtig 0.000466007825554	spät 0.000371281447143	nehmen 0.00035395358264	kommen 0.0003381271704	machen 0.000235869886527	hoch 0.000230510856389	stehen 0.000223345817928	unbedingt 0.000168736143941	zeit 0.000116987761745
topic8	hochzeit 0.790376644604	dinner 0.109272333687	hochzeitsgast 0.0209990332882	butler 0.0201192830221	tanzbein 0.0185912207544	flitterwoche 0.0160282585597	finden 0.0139185415194	speziell 0.00582855151547	bieten 0.00113047781	schön 0.00103722210754	gehören 0.000934589710156	tag 0.000373738580561	leben 0.000305208814011	klein 6.7479210755e-05	genau 5.27602516994e-07	eigen 1.58754084255e-07	geben 3.77480675022e-08	gut 1.2554031538e-08	lassen 1.09639927105e-08	machen 1.03026659619e-08	kennen 1.02614181551e-08	besonder 1.02489264606e-08	spät 1.02467465362e-08	jahr 1.02202737899e-08	brautpaar 1.02154819204e-08
topic9	rückrunde 0.363589637978	hinrunde 0.307652174931	mittelmaß 0.104111796239	winterpause 0.077243168245	verfliegen 0.0671484226381	punktabzug 0.0385780593324	produktauswahl 0.0192439332229	spitzenclub 0.0158677419539	preisgrenze 0.00392389865108	fallen 0.000948707956147	gut 6.3155930403e-05	schlecht 2.41480304648e-08	sicher 2.41457957302e-08	gelten 2.26199816132e-08	ende 2.01854856682e-08	geben 1.9673240369e-08	lassen 1.85063154966e-08	reichen 1.72495595134e-08	stehen 1.71405740711e-08	deutlich 1.65339221525e-08	erst 1.65326870963e-08	liegen 1.65245999697e-08	hoch 1.640794628e-08	sehen 1.63613128569e-08	bleiben 1.63455823218e-08
topic10	raten 0.46539577215	anmerken 0.139406471174	betätigen 0.116403117789	höflich 0.103266632524	verständigen 0.0855680187366	contest 0.0353699903898	schocken 0.0302250418803	latsche 0.0137094685324	auslachen 0.0100761855301	kommen 2.925491459e-05	sagen 1.89437065843e-05	einzig 6.2952339369e-06	genau 1.21330057991e-06	einfach 1.01131359543e-06	nah 7.99406269644e-07	heißen 1.0698706635e-07	wissen 4.07807034119e-08	wahrscheinlich 2.54600377415e-08	finden 7.99111506651e-09	gleich 7.37972706644e-09	ganz 6.30579740258e-09	letzt 6.27763013199e-09	schreiben 5.25194721709e-09	hauptsächlich 5.22675692497e-09	chance 5.22367024439e-09
