topic0	intern 0.239484975317	sperren 0.0527377663754	klinikum 0.0406459347849	sperre 0.0385961572507	freigeben 0.0337921961521	heidelberger 0.0260115725237	touchscreen 0.0242914141708	memory 0.0240189468173	nokia 0.0237664681216	verlegen 0.0229396612029	kies 0.0205938734228	editorial 0.0180266538965	dicke 0.0177676099026	speicherkarte 0.0167245921903	mitbewerber 0.0159649408145	anfangszeit 0.0143081743988	schreibend 0.0136930558746	eingabefeld 0.0133623884308	lesend 0.0120979203411	privatleute 0.0110862821355	sortiert 0.0103372261536	ambulanz 0.0102915120182	verfuegung 0.00995531732395	überprüft 0.0097918772061	gemeinschaftsprojekt 0.00963115893689
topic1	herr 0.665832871205	dame 0.112248380258	geehrt 0.0257899641267	dresdner 0.0220310243977	verteiler 0.00856101587359	bitten 0.0079303735507	kreation 0.00687958303976	freundlich 0.00639951294181	krankheitserreger 0.00434572476956	quittieren 0.00372511834813	unberechtigt 0.00371995188289	ausgebildeter 0.00350984413619	schwiegervater 0.00335602138739	softwarelösung 0.00326092969597	rücksitz 0.00323124002527	betreffende 0.00298614819402	krebskrank 0.00281620901859	waffengesetz 0.00273190893159	harren 0.00257371688692	unfrei 0.00248217128044	danken 0.00242002967287	geschäftswelt 0.00220977083907	keck 0.00218521631399	loben 0.00209813638878	leitgedanke 0.00208797737871
topic2	überwachung 0.114884410332	staubsauger 0.0744707443552	überwachen 0.063248714382	informiert 0.0558191916507	panda 0.0506815837866	preisvergleich 0.0479032949226	ausgrenzung 0.0371918047275	vorfinden 0.034826976687	testbericht 0.0332625052441	anrechnen 0.0255435247897	tagesaktuell 0.0216772752087	europarat 0.0178959885809	sicherheitsmaßnahme 0.0175838075456	haushaltsgerät 0.0174788522282	wehrlos 0.0170303623227	einmalzahlung 0.0162723173864	bahnhofstraße 0.0161947844799	erleichtert 0.0153942028212	kolonial 0.0136470130049	tageszeit 0.0129517280475	anästhesie 0.0120433594466	schlürfen 0.0119645650457	chipkarte 0.0117074049031	universitätsstadt 0.0108163703194	gehör 0.0108099656937
topic3	bayerisch 0.151505381218	schweizer 0.145642782194	bund 0.0633993557802	franke 0.0547809353574	kanton 0.0529023881164	schweizerisch 0.0398614177985	bundesrat 0.0259589871608	berner 0.0212261262935	zürcher 0.0184057918436	gesuch 0.0146440479521	oberland 0.0140012496602	weblog 0.0134652485824	staatsregierung 0.0122990046978	sekretariat 0.0116031196193	kantonal 0.0108221338181	verwaltungsrat 0.00945258120552	ausschließlichßlich 0.00928793969339	allfällig 0.00903721258102	basler 0.00860875916468	nationalrat 0.00801999279184	pächter 0.00790708897882	umbenennung 0.00790496538894	rechtsgebiet 0.00784404348301	bayer 0.00773385289569	koordinator 0.00763786990924
topic4	geld 0.0798956764292	bank 0.0663304166339	markt 0.0434163046673	zins 0.0181806015292	kredit 0.0178864310138	aktie 0.0172989024014	gewinn 0.0165340909506	anleger 0.0143195599903	verdienen 0.0126002825478	börse 0.0103451297184	geschäft 0.0102334827391	investor 0.00995691126076	kapital 0.00979362781036	schuld 0.00886729317139	laufzeit 0.00877974474801	risiko 0.00768107143897	investieren 0.00751785693622	rendite 0.00674780942253	verkaufen 0.00653667497584	eigen 0.00616836677179	verkauf 0.00608931583135	währung 0.00597372627978	vermögen 0.00596972894635	finanzierung 0.00572847834635	kaufen 0.00548530889485
topic5	herzlich 0.174886214226	willkommen 0.143905814411	dank 0.109309666989	gruß 0.0759373303058	hallo 0.0527722338671	lieb 0.0515980479879	danken 0.0384817776517	freuen 0.0350752068383	bedanken 0.0268860287416	begrüßen 0.0152899825796	grüßen 0.0133268174773	freundlich 0.0131252157658	dankeschön 0.0124674626421	heißen 0.0120681277663	impfen 0.0100335073331	vorstellen 0.00953857016982	mailen 0.00749299989272	garnele 0.00745399016635	taschenlampe 0.00726120325374	spaß 0.00709828869549	bitten 0.00698367179895	begrüßung 0.00667334656505	recht 0.00656600742303	förster 0.00606010617389	krankenschwester 0.00596133101071
topic6	firma 0.542928469685	station 0.125195288809	schirm 0.0235355444406	verlegung 0.0163791216869	mittragen 0.0135678588327	klebstoff 0.0119676540558	schulleiterin 0.0115241139919	zutritt 0.00974527941532	einwendung 0.00878284650823	glücksspiel 0.0087722418566	funkamateur 0.00777008522231	stäbchen 0.00744247844992	sitzposition 0.00704467085806	verwendungszweck 0.00686068563725	vergewissern 0.00621147052808	distrikt 0.00588192575364	bürgen 0.00584969155258	stammkunde 0.00571237116626	landschaftsschutzgebiet 0.00553088881727	bieder 0.00510035776101	amateurfunk 0.00499813029427	berührungsangst 0.00471740100503	umweltthema 0.00465633618131	kontonummer 0.00456375529752	zusetzen 0.00444000020588
topic7	boot 0.262895063623	münze 0.0722715043434	bord 0.0549500822842	bezeichnung 0.0470427427504	ruder 0.0443694170119	klient 0.0433403075168	crew 0.0320317493625	enterprise 0.0309661246078	poster 0.0303369368213	träge 0.0271435960059	triathlon 0.0215292099703	wende 0.0165608599675	parieren 0.0162052364196	atlantik 0.0141975912791	skipper 0.0128981879546	utopia 0.011877062275	prägung 0.0111196840726	festmachen 0.009564930552	bestnote 0.00887293290807	klientin 0.00876916690478	berufsbezeichnung 0.00862256324024	laufschuh 0.00860162575485	dekorieren 0.00857655523107	tauen 0.00759642602454	zweier 0.0069111891926
topic8	arbeit 0.386887441116	raum 0.202357067677	arbeiten 0.0166713600461	arbeitsmarkt 0.0161326862079	beschäftigung 0.0156526205417	arbeitslosigkeit 0.0142523132151	arbeitslose 0.0120910355097	freiraum 0.0104485547952	arbeitslos 0.00994386309087	arbeitsamt 0.00880515943612	arbeitslosengeld 0.007158906172	arbeitskraft 0.00686105132021	sozialwissenschaft 0.00624143488538	sozialstaat 0.0060602491036	arbeitend 0.00603036977736	bundesagentur 0.00575671338719	beschäftigungsverhältnis 0.00567640146017	irritation 0.00537257048317	fahrzeit 0.0052005953278	lebenslage 0.00481497058541	angestellt 0.00473760645485	transnational 0.00465291707896	berufstätigkeit 0.00432064296436	biogasanlage 0.0043195123829	agentur 0.00413686681155
topic9	unternehmen 0.121119450357	gmbh 0.0414125132047	mitarbeiter 0.0346954816307	kunde 0.029085981919	bereich 0.0173448162862	dienstleistung 0.0140042266747	management 0.0120327050952	marketing 0.0109187512022	branche 0.00990251072976	partner 0.00988780130409	wirtschaft 0.00921134475771	geschäftsführer 0.00853023531756	business 0.00821077728221	produkt 0.0079204045355	standort 0.0078933453212	service 0.00777340384565	bieten 0.00735694922561	vertrieb 0.00729364705985	manager 0.00727576491687	erfolgreich 0.00713248290916	unternehmer 0.00674326953495	führend 0.00674158549754	beratung 0.00611693807765	gehören 0.00560141605258	stehen 0.00545759258284
topic10	vorschrift 0.0150075409333	öffentlich 0.0147827535253	absatz 0.0147031836524	gelten 0.0134118020116	regelung 0.0125199662302	bestimmung 0.0111157357487	gesetz 0.00941658304307	änderung 0.00897223322072	absender 0.0089346440721	erforderlich 0.00880763535114	gesetzlich 0.00871510515219	verordnung 0.00843710599687	entsprechend 0.00811033808987	zuständig 0.0079689737822	zweck 0.00753470385292	besonder 0.00748824577915	nummer 0.00741055202892	aufgabe 0.00715383679278	satz 0.00696644644452	tätigkeit 0.0066679794246	verfahren 0.00594567624689	sinn 0.00580209414697	allgemein 0.00570980620732	stelle 0.00565830084748	pflicht 0.00557342692992
