topic0	kind 0.66721733821	jugendliche 0.0844466680752	erwachsene 0.0427552882485	geben 0.0133473019919	jahr 0.012908680944	gemeinsam 0.0109691929312	schule 0.0102929985574	finden 0.0054151828234	eigen 0.00480464918008	umgang 0.00472227081523	bieten 0.0041231223815	möglichkeit 0.00376165334022	früh 0.00363403622275	spielerisch 0.00362621603528	erleben 0.00357551147817	verschieden 0.0034475009581	entwicklung 0.00344692667348	brauchen 0.00340296806345	schulsystem 0.00329839143691	stehen 0.00269194073783	täglich 0.00260508609687	spaß 0.00258310148378	nehmen 0.00242822140988	fördern 0.00227255143711	entwickeln 0.00222437077957
topic1	tour 0.389732807358	route 0.0969926923227	örtlich 0.0845738140276	location 0.04519600451	sonnenschein 0.0402284488636	abstecher 0.0381457694527	rückweg 0.0248501242018	biker 0.0199662530557	raster 0.0182974908246	wade 0.0176720459965	nachbau 0.0169109830426	entspannt 0.0140930117909	bike 0.0121359139724	entertainer 0.0109666690779	rückfahrt 0.0107010826614	speisesaal 0.0101479580014	anspruchsvoll 0.00940543669058	weinprobe 0.00902676381269	enduro 0.00846109789542	weinstraße 0.00686740963566	sommerwetter 0.00684265272933	abreisen 0.00562645520839	herunterkommen 0.004713416425	hügelig 0.00436026767087	abfeiern 0.00412936558131
topic2	situation 0.0649882813497	angst 0.0589591927491	verhalten 0.0369017047414	vertrauen 0.0257606289068	machen 0.0245391799609	lassen 0.018371539405	gehen 0.0161361877508	umgehen 0.0144231361997	schwierig 0.0140009770212	tun 0.0139537788311	gut 0.0128871821352	eigen 0.0126151154912	problem 0.0120426992825	zeigen 0.0118096745182	versuchen 0.0114038039317	zeit 0.0106771195365	nehmen 0.00999638121808	wissen 0.00948944554948	wichtig 0.00928125669592	schnell 0.00854793940118	kommen 0.00823801292011	groß 0.0081957979478	weg 0.00812828556821	sicher 0.00765770293073	schwer 0.00761177396457
topic3	rückkehr 0.170915165981	werten 0.119942386673	namentlich 0.0797116886272	besprechung 0.0587017720338	heimatland 0.05178489312	mütze 0.0491733571478	aufdecken 0.0377525772099	unkontrolliert 0.037289761174	gebührend 0.0359163639343	jungfrau 0.0355019481847	halsband 0.0349256381139	übergriff 0.0343309839284	hundebesitzer 0.0254368328943	zusammenführung 0.0222477018388	verhinderung 0.0176890951547	hure 0.0162660711137	gewalttätig 0.0156168064447	kontrollierbar 0.0144482876256	spurlos 0.0128234609778	unterdrücken 0.0121790798696	straftatbestand 0.011818249279	bildunterschrift 0.0111106731034	tiefgreifend 0.00899611175035	baukasten 0.00880206024544	elberfeld 0.00824607928303
topic4	welt 0.641570975282	ganz 0.0296284971064	leben 0.0294245501893	gerechtigkeit 0.0179147626698	predigen 0.0110326435809	erfüllt 0.00980263994689	segnen 0.00938178866381	heiligtum 0.00870829227834	versuchung 0.00743070396073	weisheit 0.00731036523147	erlösen 0.00615328181267	groß 0.00595550333463	heiland 0.00587383573377	vollbringen 0.00582421196546	hingabe 0.00568276644974	geben 0.00562526951236	gesegnet 0.00494083157799	menschheit 0.00482039484853	erlöser 0.00476736005571	reichtum 0.00473761987058	menschlichkeit 0.00465068777848	weite 0.00445897071934	trachten 0.00432198370138	ehre 0.00402543781751	mensch 0.00393722412272
topic5	bestellung 0.083803333636	versand 0.0597105848814	lieferung 0.0580349193516	versandkosten 0.0421382965946	mehrwertsteuer 0.0360410664595	preis 0.0337436178304	angegeben 0.0231071466789	erfolgen 0.021763796734	warenkorb 0.0215271986295	verkäufer 0.0164821603737	ware 0.0147984894791	lieferzeit 0.0145372554129	bestellt 0.0137362487398	geliefert 0.012208227235	kaufvertrag 0.0117239009476	sache 0.0113796577115	gesetzlich 0.0111124599664	geschäftsbedingung 0.011035481366	tag 0.010693328793	möglich 0.0103635156722	widerruf 0.0101640151924	angabe 0.00982089851148	verstehen 0.00943965417047	angebot 0.00917911211592	erhalten 0.00881062116984
topic6	gehen 0.0545544369251	gut 0.035283546755	machen 0.0316131709888	kommen 0.0281138076865	tun 0.0231946433062	denken 0.0209693132627	wissen 0.0168986954393	total 0.0168769923926	sagen 0.0157500159472	einfach 0.0145462343995	wirklich 0.0141014718531	sehen 0.0139364450811	schön 0.0134274162305	lieb 0.0119044171956	schlimm 0.0117908637797	echt 0.0103276545125	ganz 0.0101631552066	richtig 0.00964172648997	glauben 0.00926357210799	hören 0.00853498260833	finden 0.00850220029704	hoffen 0.00825818515983	schreiben 0.0075385618899	letzt 0.0072167681932	kennen 0.007213559905
topic7	mädchen 0.522135226758	junge 0.171935756618	jungs 0.123453630713	aufwachsen 0.0317981476213	lagerfeuer 0.0255968228127	mathematiker 0.0232059930725	kirmes 0.010234314182	beteuern 0.00884941349358	algebra 0.00870707497667	jugendabteilung 0.00860812436816	beirren 0.00751293419363	geistern 0.00584599588378	nomade 0.00559045840541	sportheim 0.00551962478925	gestrickt 0.00530551705385	astrologe 0.00476062942796	algebraisch 0.00456930375924	unbekümmert 0.00377400097963	quadratur 0.00274847403034	pappnase 0.00247724090916	prestigeobjekt 0.00245470987498	entwicklungsteam 0.00222095268717	wievielte 0.00197697520059	zahlentheorie 0.00160700023178	gregorianische 0.00157122029096
topic8	unternehmen 0.771908923745	gesellschafter 0.0247132181357	stempel 0.0243372809192	unternehmerisch 0.0202771368761	gehören 0.0185296721661	dienstleistung 0.0162120843568	unterschrift 0.0160623730134	geschäftsführend 0.0121580960706	datenbestand 0.0119501607818	geschäft 0.0117157069584	erschließen 0.011376524729	tremor 0.00664404268526	wirtschaftlich 0.00600228188723	zusammengefasst 0.00545740554688	echtheit 0.00398646384013	digitaldruck 0.00337817389443	bekannt 0.00331798535183	vorhanden 0.0025190872303	kategorisierung 0.00247857177417	druckmaschine 0.00182034098798	ladenlokal 0.00179713653184	einwohnermeldeamt 0.00165174356679	zwischenstufe 0.00162034353793	druckvorstufe 0.00148939069367	enthaltend 0.00137675276864
topic9	schild 0.182043870399	feind 0.148756822898	entwerfen 0.0713829897122	kämpfer 0.0641132451635	geschehnis 0.0535405597977	pest 0.0336662641111	verwirrend 0.0321169055416	granat 0.0315731606178	mahnbescheid 0.0298046812356	entzünden 0.0291527845505	mehren 0.026436961671	axt 0.0260763552096	leiche 0.0243819023225	familienrecht 0.0215089004065	söldner 0.0206803575433	erschlagen 0.0193329973529	wildnis 0.0133907467405	wirtin 0.0132554358336	generierung 0.0126479025758	schmuggeln 0.0108020909228	vorbildung 0.00911202208314	ich 0.00905879612453	unterleib 0.00856478667224	wehrhaft 0.00811289391967	breitgefächert 0.00749823128381
topic10	geplant 0.503212171578	belgisch 0.0500081465917	abwesenheit 0.0426496511089	aufarbeitung 0.0369328899162	jahrzehntelang 0.0332229883717	schifffahrt 0.0225038487012	biogasanlage 0.0218813451438	umrunden 0.0210180766042	ungeliebt 0.0206892491626	stündlich 0.0183219900478	biogas 0.0161198190154	belgier 0.0158940207183	äquivalent 0.0141676094979	harfe 0.0132558202123	wacker 0.0106845918781	reisig 0.0091869545258	pauke 0.00917007756427	vorhaben 0.00876279220747	wasserwerfer 0.00830921782665	trampelpfad 0.00735694587572	amsterdamer 0.00733585006741	umsiedeln 0.007111197179	kämpferin 0.00635831285727	rebstock 0.00619785968174	wärmebedarf 0.00598491171612
