topic0	person 0.627751497261	station 0.101745998057	tisch 0.0710641622775	indisch 0.049798837081	stuhl 0.0336375040878	trauern 0.011898032084	beantragung 0.00856376178643	lauenburg 0.00797185187274	eindecken 0.00577800641002	münster 0.00560455078193	zweistündig 0.00554623197539	inklusiv 0.00536766451862	esstisch 0.00527106974502	freifläche 0.00488931548139	urlaubsreise 0.00467397636838	gesamtleistung 0.00388982302785	backend 0.00384235684505	festplatz 0.00330727778115	darlehensvertrag 0.0026364915709	crewmitglied 0.00262108017865	sondergenehmigung 0.00231921531035	beengt 0.00229594651786	scheibenwischer 0.00219458062479	stiege 0.00208959206841	weserbergland 0.00208942736894
topic1	fluss 0.146153694377	ufer 0.0683095952121	fließen 0.0534655693129	flut 0.0428967625912	bach 0.0402493838198	spinne 0.0384270334781	hochwasser 0.037966106919	durchgehend 0.0372315060556	fließend 0.0325016825388	halloween 0.0258971307386	angler 0.0215730958885	keks 0.0212850533622	laterne 0.0212164826456	forelle 0.0167181438996	räuber 0.0163557524068	schwimmend 0.0160198494999	feige 0.015947253097	worden 0.0156879707364	strömung 0.012202180264	wasserleitung 0.0110348181309	sachkundig 0.0109994672244	gimmick 0.00985161023867	stube 0.00974529248585	fischart 0.00921515465575	schaurig 0.00892533453263
topic2	stoff 0.218155646783	kleidung 0.137590224928	designer 0.0676766297581	sexy 0.0591866015558	country 0.0335137295967	familienunternehmen 0.0288667956507	dessous 0.0285437433939	kleidungsstück 0.0281004770403	baumwolle 0.0239076809863	textilie 0.0236242155074	bekleidung 0.0227942863214	trip 0.0225139403995	sinnlich 0.0193157169734	nachgewiesen 0.0174460128509	sohle 0.0171782085589	armbanduhr 0.0142934574684	dokumentiert 0.0117837399411	pelz 0.0104270405058	findend 0.00898482462151	kunterbunt 0.00864400342683	gestern 0.00814599351045	feminin 0.00801139624748	schuhwerk 0.0079285443063	unebenheit 0.00724889454653	bekannt 0.00698606196927
topic3	grün 0.17916383441	grüne 0.102435897636	fordern 0.0989614599523	ökologisch 0.096707352517	bündnis 0.0518473461769	entwurf 0.0457252385198	geplant 0.0403805629606	landesregierung 0.0326617653012	lärm 0.0304055992418	bundesregierung 0.0219373334554	landtag 0.0215809360725	ministerin 0.0184314629506	verlegung 0.0179310489942	flugplatz 0.0174852631434	kritisieren 0.0132794560304	grünen 0.0122036303444	lehnen 0.0101541627517	ökologischer 0.00887465602222	kommunalpolitik 0.00855133332291	korridor 0.00608941994389	spitzenkandidat 0.00603693833331	ablehnend 0.0056005418694	kommunalpolitisch 0.00527982735941	bundesebene 0.00520190981604	flugverkehr 0.0050198796904
topic4	erfolg 0.281144484352	erfolgreich 0.200292776634	konkurrenz 0.0280527432763	vorweisen 0.0125525683164	beweisen 0.0117053301587	groß 0.0114994528285	durchsetzen 0.0100494900497	konkurrent 0.00948399710102	misserfolg 0.00843651436646	arsenal 0.00795214556007	scheitern 0.00697503960155	waage 0.00686579633726	neuanfang 0.00673034852941	rückschlag 0.00663835936996	erklärt 0.00568676393219	england 0.00542234279413	rosig 0.00528923303734	stütze 0.00502654916955	nachfolger 0.00502608241994	ehrgeizig 0.0049891594732	talent 0.00497653741965	gelingen 0.00473726640133	skorpion 0.00467787918079	verfehlt 0.00466212026668	geldgeber 0.00445127873644
topic5	kollege 0.462306802269	kollegin 0.10795624177	wirbelsäule 0.0349059016284	stapel 0.0337229663555	evolution 0.0321266659022	fledermaus 0.0230810959899	tötung 0.0223890538373	säugetier 0.0166937421057	mücke 0.0160900239131	vergiftung 0.014900303452	nahrungsergänzung 0.0145077792199	bewerbungsgespräch 0.0141575068062	animal 0.0139176525914	raubtier 0.0123475117595	ausgewachst 0.0118255344102	verantwortungsbereich 0.0103995664824	fachmagazin 0.00984384675923	vereinigte 0.00939628226226	tätigkeitsbereich 0.00863780778295	schlafend 0.00848491604132	abkürzen 0.00757427415389	border 0.0073907827251	wirbeltier 0.00653952837927	trauernd 0.00549418255602	pflegeperson 0.00520413463576
topic6	chemie 0.178161389735	chemisch 0.097498830554	pack 0.0721849996258	stick 0.0473614936589	gestört 0.0392672059084	funktionell 0.0325971622964	tragekomfort 0.0308145836987	weiterlesen 0.0278793912244	skurril 0.0253042488237	synthese 0.0236443385075	verdecken 0.018761335749	bedrucken 0.0178059394042	arbeitseinsatz 0.0171991188606	partiell 0.0167108292865	horoskop 0.0157696733283	umtauschen 0.0154605757332	ungemütlich 0.0148654979416	isolieren 0.0147205242588	sommertag 0.0130156177612	sonnenbrand 0.0123325515839	atmungsaktiv 0.0120820376806	strotzen 0.0120734920769	endlich 0.0119850788027	sticken 0.0117504277853	tabellarisch 0.0117360011397
topic7	lassen 0.0365684965314	salz 0.0346256569779	minute 0.0232544523649	geben 0.0225291661624	butter 0.0211120958114	pfeffer 0.0175078909468	schneiden 0.0162110876964	kochen 0.0158854867361	zwiebel 0.0151722317619	backen 0.0138757912415	fein 0.0130652945751	mehl 0.0128968853411	würfel 0.0120109162295	klein 0.0116263445896	teig 0.0115049219363	gut 0.0111871155322	pfanne 0.010895573822	rühren 0.0106810507446	topf 0.00951265269578	legen 0.00914838832686	mischen 0.00909690457267	rezept 0.00887897067432	zucker 0.00884980814023	servieren 0.00875915468239	kartoffel 0.00851011939733
topic8	bank 0.358060711413	konto 0.0993560412689	kreditkarte 0.0387818868748	sparkasse 0.0382508635495	dresdner 0.0333909189132	betrag 0.0274895429193	girokonto 0.0217715240271	überweisung 0.0195903969013	überweisen 0.0195722036765	wertpapier 0.0180575319947	bargeld 0.0178572263038	transaktion 0.014783805729	geschäft 0.014663370938	gebühr 0.013190373966	eröffnen 0.0128334321182	buchhaltung 0.0119558439813	zahlung 0.0108329557519	sicher 0.00894741398038	abwickeln 0.00812353961361	post 0.00750903302712	landesbank 0.00742421025814	emittent 0.00648178945395	bankkonto 0.00641763495135	gesamtwert 0.00615520494311	kontoauszug 0.00606016459802
topic9	wettbewerb 0.143904413634	sportlich 0.0712122581775	sportler 0.0685359564494	wettkampf 0.0648252551313	olympisch 0.0520223800544	disziplin 0.0473661219116	medaille 0.029348335007	leistung 0.0288062299264	athlet 0.0276312875507	meisterschaft 0.026735248583	bronze 0.0262108752389	western 0.0162314511253	handball 0.0154494334124	tischtennis 0.0142160748934	sportart 0.0129611361679	weltmeisterschaft 0.0127526417662	motorsport 0.011785997393	leistungssteigerung 0.00974971184599	europameisterschaft 0.0093446044609	goldmedaille 0.00915742192632	sportlerin 0.00833973724399	leistungssport 0.00806862779489	sport 0.00749274724873	doping 0.00728685732016	gewinnen 0.00725979607279
topic10	rücken 0.254377105824	brust 0.0740914235661	faden 0.0552480886645	unauffällig 0.0362024666229	stechen 0.0349327970475	prinz 0.0337663073103	bauch 0.0332430684547	seitlich 0.0316263887235	abheben 0.0250513791149	schub 0.0248167686426	abdeckung 0.0247443627214	erfahrungsbericht 0.0237755260783	ringen 0.0203069167027	verschluss 0.0181782520847	vorhaut 0.0167202810355	belastbarkeit 0.0158798484435	zeh 0.0155822276127	wund 0.0148810844146	unsäglich 0.0147867608153	aufrecht 0.0144956082951	nacken 0.0111801558154	bezüglich 0.0094987084787	schmerzen 0.00880013659881	großflächig 0.00854263397484	ausrutscher 0.00844315637061
topic11	wand 0.202327004293	ecke 0.139801939442	spitze 0.0882179167039	folie 0.0699867112506	bindung 0.0548529459537	streifen 0.0496439564082	kante 0.047282876334	anbringen 0.0443695725587	fußboden 0.0221305160745	passion 0.0204586206477	hängend 0.016644233059	klebeband 0.01465576351	äußere 0.0144558436436	innerstädtisch 0.013819094045	dreier 0.0127191142147	unterbau 0.0107982392497	naturbelassen 0.0104378361735	diskussionsbeitrag 0.00836947429949	schwimmbecken 0.0070988065336	partitur 0.00703692024405	robustheit 0.00701482952175	abdichtung 0.00606124066966	keramisch 0.00599023679213	routiniert 0.00572739883872	nachbilden 0.00567538774103
topic12	programm 0.590567098995	kanal 0.0926890477736	sender 0.0850685457825	edition 0.0527842268845	senden 0.0319780259544	live 0.0290395399033	empfangen 0.0266222367988	empfang 0.0228490708945	arten 0.0101163300504	pressemeldung 0.00966765159681	frequenz 0.00619391075	umbaumaßnahme 0.00473289978878	heuern 0.00407917611862	benutzerkonto 0.00382738129629	ausstrahlung 0.00343502436102	lokalzeitung 0.00335159858444	starten 0.00306972726559	rumäne 0.0027818775601	zusichern 0.00202862145894	ausstrahlen 0.00175868390029	laufend 0.00167111870277	modal 0.00137839303699	parallel 0.00124203947551	umschalten 0.00114043174557	aufnehmen 0.00113881660093
topic13	gesellschaft 0.298442703401	forschung 0.0331744200162	erziehung 0.0305531701113	interdisziplinär 0.0190626051332	wissenschaftlich 0.0186601872025	naturwissenschaft 0.0160822488613	modern 0.0157749710546	exemplarisch 0.0150418566114	gesellschaftlich 0.0129206064183	entwicklung 0.0126545029604	schlagwort 0.0126292180388	naturwissenschaftlich 0.0118832283575	selbstbestimmung 0.0111993097198	absolvent 0.0101598457601	lebensstil 0.0100801740017	ethik 0.00981817334347	anonymität 0.00959507363062	reflexion 0.00935193770159	repräsentation 0.00909530042743	protestantisch 0.00885430140245	vernetzung 0.00872302942558	forschungseinrichtung 0.00870079500795	stellenwert 0.00865303539536	fragestellung 0.00861345950816	differenziert 0.00762823466012
topic14	anlage 0.243944298138	betrieb 0.204662527591	strom 0.11009434452	betreiben 0.021839093605	technisch 0.0185476355601	elektrisch 0.0164840329232	energieverbrauch 0.0152737625486	wartung 0.0146299320657	schonen 0.0141279238337	autohaus 0.0136421002113	stromverbrauch 0.0122750517102	steckdose 0.0115459779116	technik 0.0111204445228	elektroauto 0.0108854478035	umsetzbar 0.00958171795982	effizient 0.00934034999136	leistung 0.00824464230305	verbrauchen 0.00791027993305	herkömmlich 0.00787079685772	verbraucher 0.00731441553713	versorgen 0.00721472247189	gebrüder 0.00661592892362	elektrofahrzeug 0.00645962095664	faxe 0.00628886986092	borke 0.0062308335042
topic15	jahrhundert 0.0651383276197	zeit 0.0351793355189	erst 0.0225471371992	alt 0.0217402666636	spät 0.0205793219558	jahr 0.0189333017406	heutig 0.0166991251928	früh 0.0156443247661	groß 0.0151527380098	finden 0.0107323492295	gehören 0.00947713692866	stammen 0.00946664109247	erhalten 0.00894766400769	neu 0.00889364389421	mittelalter 0.00882283702982	zweit 0.00831630441788	teil 0.00820273825003	weit 0.00788432184966	historisch 0.00736959311385	stehen 0.00724216447536	bedeutend 0.00682352240328	damalig 0.00676498634184	entstehen 0.00672710266836	bekannt 0.00666516028338	ende 0.00654823813053
topic16	römisch 0.137101507996	anmerkung 0.12788443071	verfasser 0.085262972621	wappen 0.0385101167301	handschrift 0.0334452006076	jahrbuch 0.0274433509674	alphabetisch 0.025288479535	verteilt 0.0251392772265	modifikation 0.0240722979395	kurfürst 0.022642272349	herzogtum 0.0222802309603	aufbruch 0.0217451437542	briefwechsel 0.0208540434261	weltgeschichte 0.0157373754101	gerechte 0.0149799055657	hochdeutsch 0.014816059553	kandidatur 0.0135568892251	vollenden 0.0131197482249	rezensent 0.0118573879027	palais 0.0112642057574	taler 0.0110273304689	axt 0.0109637490539	wochenblatt 0.0093718357346	römer 0.00899111714055	gallier 0.00891708403949
topic17	gang 0.210297068449	kabel 0.167994550942	keller 0.108907228236	anschließen 0.0766767585232	stecker 0.0477931041516	kupplung 0.039595059337	verlegen 0.0383099036559	dominant 0.0372969146433	auftretend 0.0219178546454	erfahrungsgemäß 0.0199510587285	aminosäure 0.0193579169468	dicke 0.0180356383266	überbrücken 0.0174660681563	ergiebig 0.0123166597967	einstecken 0.00997284775301	verlaufend 0.00951057741174	lymphknoten 0.00805533974312	pollen 0.00791263819517	hellgrün 0.0078569030162	nockenwelle 0.0058408151313	zuschalten 0.00580834195435	umweltbewusst 0.00549980874929	zerlegen 0.00517744709403	polig 0.00517127503133	anspringen 0.00515678170341
