topic0	stoff 0.267679333053	richtlinie 0.119755829389	kunststoff 0.0566426873077	ziffer 0.034855736893	chemikalie 0.0333510651852	verarbeiten 0.0306080501551	planer 0.0272968393606	gel 0.0263786234079	entsorgung 0.026093821251	einleitung 0.0231170573968	unentbehrlich 0.0218229125267	chemisch 0.0216105569045	gesamtkonzept 0.0172325676568	einfuhr 0.0148674392424	erörtern 0.0142688637768	spezialgebiet 0.0141560040056	umwelt 0.0128528804928	grundwissen 0.0118931531744	bündel 0.0108266659242	quecksilber 0.0106779054343	bequemlichkeit 0.00914414387647	fließband 0.00878575471853	verarbeitend 0.00816887352349	aufwind 0.00725368754673	kohlenwasserstoff 0.00697699164185
topic1	wohnung 0.307188065821	wohnen 0.183651267113	mieter 0.0903690162475	vermieter 0.0659980968564	wohnzimmer 0.0331364092226	haus 0.0328596780957	gepflegt 0.0320349854463	balkon 0.0281803387099	auszug 0.026396339896	hall 0.0238715877838	mietvertrag 0.0233997894275	schere 0.0121233051874	tapete 0.0121220956595	küche 0.0111943524916	haustier 0.0103496374394	puzzle 0.0102319343987	volume 0.0095081356473	haushalt 0.00862804541172	einzug 0.00671867384589	verschneit 0.00565818925977	griffbereit 0.0055049957755	nostalgie 0.00537124198035	raumklima 0.00362415077858	flur 0.00350338688974	hausbewohner 0.00305477137076
topic2	vertrag 0.0655696728729	anspruch 0.0546964658712	klägerin 0.0314809876564	höhe 0.028589166813	kündigung 0.022328378218	zahlung 0.0220431659183	kosten 0.0203928505978	fall 0.0185742816249	aktenzeichen 0.0165432548471	betrag 0.0144645807421	vertraglich 0.0111152679541	zahlen 0.0108583313189	vereinbart 0.0106447291899	haften 0.0103918457583	revision 0.00985222703863	verlangen 0.00948740809801	klausel 0.0093078904982	geltend 0.00855355063662	haftung 0.0083151634629	senat 0.00822283950684	kündigen 0.00804285878584	kommen 0.00800353447552	rechnung 0.00712757593462	unwirksam 0.00709541751435	leistung 0.00654169307447
topic3	verein 0.138928713777	mitglied 0.0800331684779	vorsitzende 0.0564526950541	vorstand 0.05421498672	spende 0.0255077498377	mitgliederversammlung 0.0146753641991	mitgliedschaft 0.0130324666978	stellvertretend 0.0126630526745	satzung 0.010988558014	arbeit 0.0101778932491	aktiv 0.00989883898722	vorstandsmitglied 0.00962781085491	einstimmig 0.00949822290649	versammlung 0.00936723192826	ehrenamtlich 0.00906783766981	jahr 0.00845201728318	zweck 0.00792435913166	aufgabe 0.00712386229449	bestehen 0.0059719968516	vertreter 0.00596589192101	beschluss 0.00592076142316	anwesend 0.00580229011923	finden 0.00579426191759	gemeinnützig 0.00576354880973	vereinsmitglied 0.00569361890931
topic4	helfer 0.0796079002326	versorgen 0.048314271335	notfall 0.0481609045543	ortsteil 0.0470887186739	einsatz 0.0431860978431	alarm 0.035100830081	verkehrsunfall 0.0326853134863	hubschrauber 0.0312253069647	rettungsdienst 0.0309391901826	eintreffen 0.0260807788664	verletzt 0.0239987477761	rettung 0.022099266959	verletzte 0.021343168371	funktionsfähig 0.0195606848331	geschult 0.0185954817307	wache 0.0185571359587	hauptamtlich 0.0152980153776	retten 0.0143324621699	notarzt 0.0140736968014	buggy 0.0127895880692	fachpersonal 0.0119244041139	erkundung 0.0114556637381	einsatzstelle 0.0112595919798	toaster 0.0103831552668	handlungsfeld 0.0100583815823
topic5	online 0.59210064514	beschreibung 0.130677069826	portal 0.124208004766	fahrwerk 0.030704625931	offline 0.0245540952828	anonymität 0.0153707555133	übersichtlich 0.00717123141251	airbag 0.00714606162826	zahlungssystem 0.00691350282669	karo 0.00684344625515	alteingesessen 0.0065583366753	mausklick 0.00590083364996	informationsaustausch 0.00573866730387	werbefläche 0.00535401727512	quarantäne 0.00423733830562	verfügbar 0.00280164939851	messtechnisch 0.00243271920361	shop 0.00207793359305	implementiert 0.00192546298872	textdatei 0.001810130169	profilseite 0.00141037495541	relaxed 0.00133573980608	bequem 0.00130139428249	koloskopie 0.00112647202023	privatbahn 0.00112027772394
topic6	leib 0.037423065079	fremd 0.0323420197443	paradies 0.0291748097663	andere 0.0269965922694	hölle 0.0250218312093	fremde 0.0230083098268	weib 0.022467210837	heimlich 0.0220176872725	jungfrau 0.0193519184404	selig 0.0187092190664	klug 0.0185858431096	bemerkung 0.0163598388147	vorhang 0.0158458468608	göttin 0.0149395773075	eisern 0.0125092008585	gefällig 0.0119924282128	ohnmacht 0.0115856742128	mitleid 0.011534764931	furcht 0.011261765933	verbergen 0.0107256781991	hold 0.0105192072337	harren 0.00986959556927	kranz 0.00976025918053	seele 0.00972471901783	gesandt 0.00955777890553
topic7	finden 0.265930554345	suchen 0.178272443759	suche 0.103970824542	information 0.0331243970341	passend 0.032598003396	bieten 0.0269192837701	einfach 0.0257570969254	rubrik 0.0211060996912	übersicht 0.0177635970119	richtig 0.0143546899826	ort 0.0133313111727	verschieden 0.0128166741729	schnell 0.0116681480323	erfahren 0.0103830299073	helfen 0.00904543683633	genau 0.0087307715217	auswahl 0.00802500456613	geeignet 0.00736759999266	kompetent 0.00654493991654	homöopathisch 0.00585384257724	informieren 0.00556932367072	kontakt 0.00546090596033	gut 0.00541584414966	schauen 0.00526914539729	ständig 0.004993884367
topic8	machen 0.0382461313723	gehen 0.0270780718832	einfach 0.0236933824989	tun 0.023363779639	gut 0.0185512591936	zeit 0.0169700885128	kommen 0.016351844297	lassen 0.0149523132904	wissen 0.0136911876602	problem 0.0108261793951	versuchen 0.0102928774968	geben 0.0101667265234	wirklich 0.0101226207549	sagen 0.00970549485438	fühlen 0.0093649783341	richtig 0.00911809548037	situation 0.00859002284108	ding 0.00837413344237	leben 0.00797577968444	denken 0.00795180487783	bekommen 0.0078232174139	helfen 0.0071931831875	gefühl 0.00692561886717	wichtig 0.00685853207207	kennen 0.00679815683407
topic9	punkt 0.642822425012	japanisch 0.100453863062	zone 0.055755668717	kugel 0.048340339343	skript 0.0298249176241	waldorfschule 0.0133886203801	countdown 0.012409488422	limit 0.0119460696137	punktzahl 0.0113564119708	panel 0.0103366854032	länglich 0.00659607793845	manufaktur 0.00627058603966	basiswert 0.00457235966042	konsulat 0.00437811143537	völkerverständigung 0.00408570022238	spielfläche 0.00394342828875	maximieren 0.00280632118913	combo 0.00266858680619	zählen 0.00221156722898	schnellzug 0.0021594666374	großzügiger 0.00201105396698	reiseunterlage 0.00187521960754	maximal 0.00161906846128	hure 0.00145427749497	kimono 0.00142437695504
topic10	studie 0.133524851479	ergebniss 0.0876007315631	untersuchung 0.0765852225315	zeigen 0.0534196308066	ergebnis 0.0252417915948	untersuchen 0.0196869803045	einfluss 0.0184511634776	wissenschaftlich 0.014525446193	signifikant 0.0112403722476	positiv 0.0111418651795	institut 0.0102969383102	forschungsprojekt 0.00994090873353	untersucht 0.00971271078236	zusammenhang 0.00946249161433	vergleich 0.00911486520915	durchgeführt 0.0088594877473	befund 0.00864687059376	auswirkung 0.00809123307438	erkenntnis 0.00803035911275	progressiv 0.00773284350997	faktor 0.00729103390303	unterschied 0.00711087563692	analyse 0.00708653075993	ergeben 0.00686798027169	befragung 0.00679171213418
