topic0	frau 0.265286647808	mann 0.122120015916	mutter 0.0219431625578	tochter 0.0188717313176	männlich 0.0183892196825	weiblich 0.0152737269302	jung 0.0136912557694	vater 0.0116644559943	ehe 0.011466601439	partner 0.0109419878956	paar 0.00999875781504	geschlecht 0.00968632991511	hochzeit 0.00963446080174	schwester 0.00798204770617	beziehung 0.00780456792763	heiraten 0.00687088118227	familie 0.00673151684137	freundin 0.00628056060558	sohn 0.00596677693482	schwanger 0.00595164710278	ehemann 0.00511843833502	kind 0.00482888560324	leben 0.00433905229206	verheiratet 0.00431622485507	haus 0.00391157382512
topic1	polizei 0.0640489457512	täter 0.018528561859	polizist 0.0166658699821	person 0.0163593489785	beamter 0.013470190717	illegal 0.0121713212115	droge 0.011129313817	ermittlung 0.00895949099065	kommen 0.00868566986904	opfer 0.00866598557497	legal 0.00836597731094	fall 0.00766672484092	straftat 0.00742287463859	tat 0.00735018871218	mann 0.00720425066481	schwer 0.00690986647555	unbekannt 0.00686434518192	vorfall 0.00678452347656	weit 0.0067661013985	gewalt 0.0065699381311	nacht 0.00635563448984	hinweis 0.00605494191266	anzeige 0.00593966923565	diebstahl 0.00568085480226	verdacht 0.00533600934142
topic2	lernen 0.0217055072557	eigen 0.0165384877601	wichtig 0.0141022006999	erfahrung 0.0136184853862	persönlich 0.0111903417142	mensch 0.010817444004	selbstbewusstsein 0.0107964233976	machen 0.0106203570834	geben 0.0104278402701	wissen 0.0103363277205	gut 0.010289170013	möglichkeit 0.00960358107096	kennen 0.00937672045881	stärken 0.00896576149246	finden 0.0083575504457	gehen 0.00793962642657	kontakt 0.00793330922092	kommen 0.00715764608911	leben 0.00699484807981	verschieden 0.00696899501645	helfen 0.00689423797366	thema 0.00661672423835	neu 0.00657390413543	zeit 0.0064125792979	arbeit 0.00630168440291
topic3	hoch 0.0178418470756	material 0.0159622852267	groß 0.0157943875873	gut 0.0144962080338	bieten 0.0132587355884	lassen 0.0114385412431	leicht 0.0110384478228	verschieden 0.00990830306071	speziell 0.00896084675095	einfach 0.00885790183154	einsatz 0.00860013636683	optimal 0.00856573483655	klein 0.00856063063272	hersteller 0.0082409341147	größe 0.00757651447942	sorgen 0.00729328513666	erhältlich 0.00727078855676	optisch 0.00714263958237	eignen 0.00708355683562	unterschiedlich 0.0068736320433	bestehen 0.00684350233309	hochwertig 0.00673263471057	zusätzlich 0.00665241089804	schnell 0.00659135011968	sicher 0.00614927009504
topic4	verkauf 0.106324173831	verkaufen 0.0700706968628	verbraucher 0.0663489003746	käufer 0.064422142969	verkäufer 0.0621752915321	ware 0.0564591245797	kauf 0.0380031309072	kaufpreis 0.0233794027928	downloaden 0.0169200204443	erwerben 0.0142947111315	handel 0.0135334569989	ausbilder 0.0133797109247	erwerb 0.0127013494611	zugelassen 0.0122066729716	werktag 0.0120351395444	kaufvertrag 0.0113259843895	vermittler 0.0102140812038	gebot 0.00977017437831	korbacher 0.00960035028769	eigentum 0.00924409245904	verkauft 0.00856948555005	marburger 0.00715261414342	unternehmensberater 0.00604337044961	eigentümer 0.00592887458104	betriebsvereinbarung 0.00582094115728
topic5	ostsee 0.0306689875497	nord 0.0272392060598	chemisch 0.0238770483035	organisch 0.0232753695345	reaktion 0.0194653657876	trinkwasser 0.0185924111362	stoff 0.0182653038183	süd 0.0166630049002	substanz 0.0163238495336	konzentration 0.0158899502899	niederschlag 0.0140538948543	enzym 0.0118365559521	abwasser 0.0079637704935	wasserversorgung 0.00787052601566	grundwasser 0.00781610539547	erkrankte 0.00740131872486	neugeborene 0.00714677462962	verbindung 0.00682083666096	neurodermitis 0.00681580225196	hospital 0.00677673641087	nordsee 0.00663964427761	biologisch 0.00634772453886	arbeitsgebiet 0.00632213975021	ausgrenzung 0.00617205193579	jakobsweg 0.00600043474941
topic6	zimmer 0.0240006281225	küche 0.0213081428041	haus 0.0194994910003	groß 0.0178788678228	restaurant 0.0157582113298	person 0.0151237527567	bieten 0.0138786662384	befinden 0.0122666104761	liegen 0.0116573650858	klein 0.0101901608774	platz 0.00991475962926	stehen 0.00969691404081	möbel 0.00956139718625	direkt 0.00955594483709	lage 0.00945530244427	ruhig 0.00898717834279	bar 0.00889899374829	terrasse 0.00850252570127	garten 0.00847476254526	gast 0.00821872959573	balkon 0.008196568498	modern 0.00816291066777	verfügen 0.0077541018838	schlafzimmer 0.00764958896966	gemütlich 0.00758383606764
topic7	kampf 0.0352222806532	waffe 0.030812090806	gegner 0.0269430134966	ring 0.0249678352383	stufe 0.0103732161483	schwert 0.00941593316591	kämpfen 0.00927829652444	stark 0.00904280885755	schaden 0.00903324726529	drache 0.00843965946451	schießen 0.00837599432462	schnell 0.00797084417646	pfeil 0.00728111463475	magier 0.00717489499932	magisch 0.00700723577023	schlag 0.00700398606338	held 0.00698237039241	zwerg 0.00694150937281	treffen 0.00681775572241	schild 0.00664758106611	angriff 0.00648682460026	magie 0.00629113600898	gruppe 0.00621802082016	feind 0.00581692341358	ziel 0.00578830022083
topic8	auto 0.113913665721	fahrzeug 0.0710943543759	wagen 0.0316990738252	fahren 0.0263839249411	liter 0.0161056827288	golf 0.014280584905	fahrer 0.0140340099035	neu 0.0126508072888	pkw 0.011619093598	werkstatt 0.00968952778347	diesel 0.00941081124588	stehen 0.00863760891839	benzin 0.00781291402178	kraftfahrzeug 0.00769051257895	kilometer 0.00740832969612	automobil 0.0061370477942	kommen 0.00586592245939	autofahrer 0.00566483258106	fahrt 0.00564712876225	audi 0.00534349812105	tanken 0.0051369655394	autobahn 0.00494386401415	modell 0.00478747219852	straße 0.00473962440865	tankstelle 0.00468091540557
topic9	radio 0.144806016531	spielerin 0.0276105617975	kubanisch 0.0228809168452	cannabis 0.0220488585374	yoga 0.0216878039441	hörer 0.0174976507937	psychotherapeutisch 0.0166576564882	maulkorb 0.0117483233949	achter 0.0106920705232	klassifikation 0.0104399662625	zahnärztlich 0.0103962276984	haller 0.0101946701381	konsistent 0.00983919017439	buchführung 0.00968046001629	salzburger 0.00963659187079	filz 0.00760367800257	lebensabschnitt 0.00758129307037	dock 0.00735682780585	genannter 0.00724119145267	anrufbeantworter 0.00724021449882	faxe 0.00699317379826	zusammenführung 0.00697015539489	psychoanalytisch 0.00660856630134	hochrechnung 0.00580530983412	erfuellt 0.00556910345566
topic10	euro 0.1715649456	kosten 0.0478830193076	monat 0.0287173029293	geld 0.0264364586384	zahlen 0.0226065006468	jahr 0.0182974114837	höhe 0.0127944788999	monatlich 0.012781515154	geben 0.0123786358734	erhalten 0.0118482182014	bezahlen 0.0118137065959	hoch 0.0100689139268	preis 0.0090436825082	bekommen 0.00881957310574	betrag 0.00862316150947	gebühr 0.00861864130806	zusätzlich 0.0085431718522	cent 0.00783264929106	günstig 0.00771848584114	betragen 0.0074988902534	sparen 0.00695603325793	laufzeit 0.00624687142105	liegen 0.0057222931891	maximal 0.00553349311218	summe 0.00539469814391
